Hospital_ID,State,District,City,Hospital_Rating,District_Avg_Rating,Hospital_Score,Affordability_Score,Suitable_For_Disease,Recommendation
Hospital #32,Andhra Pradesh,Guntur,Guntur,4.3,4,5.98,9.11,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #33,Andhra Pradesh,Guntur,Guntur,4.4,4,6.09,9.21,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #34,Andhra Pradesh,Guntur,Guntur,2.3,4,3.79,7.16,Diabetes Management,Not Recommended
Hospital #35,Andhra Pradesh,Guntur,Guntur,4,4,5.66,8.82,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #36,Andhra Pradesh,Guntur,Guntur,4.5,4,6.2,9.31,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #37,Andhra Pradesh,Guntur,Guntur,4,4,5.66,8.82,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #38,Andhra Pradesh,Guntur,Guntur,5,4,6.75,9.8,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #39,Andhra Pradesh,Guntur,Guntur,3.2,4,4.78,8.04,Diabetes Management,Moderate
Hospital #40,Andhra Pradesh,Guntur,Guntur,4.1,4,5.77,8.92,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #41,Andhra Pradesh,Guntur,Guntur,4.6,4,6.31,9.41,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #42,Andhra Pradesh,Guntur,Guntur,2.9,4,4.45,7.75,Diabetes Management,Moderate
Hospital #6,Andhra Pradesh,Guntur,Guntur,4.8,4,6.53,9.6,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #7,Andhra Pradesh,Guntur,Guntur,4.5,4,6.2,9.31,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #8,Andhra Pradesh,Guntur,Guntur,4.6,4,6.31,9.41,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #9,Andhra Pradesh,Guntur,Guntur,4,4,5.66,8.82,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #49,Andhra Pradesh,Kakinada,Kakinada,4.9,4.8,6.36,9.74,"General Medicine, Cardiac Care, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care",Recommended
Hospital #50,Andhra Pradesh,Kakinada,Kakinada,4.7,4.8,6.14,9.54,"General Medicine, Cardiac Care, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care",Recommended
Hospital #104,Andhra Pradesh,Krishna,Vijayawada,4.6,4.21,6.31,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #105,Andhra Pradesh,Krishna,Vijayawada,4.2,4.21,5.87,9.11,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #106,Andhra Pradesh,Krishna,Vijayawada,4.7,4.21,6.42,9.6,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #107,Andhra Pradesh,Krishna,Vijayawada,4.8,4.21,6.53,9.7,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #108,Andhra Pradesh,Krishna,Vijayawada,4.3,4.21,5.98,9.21,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #109,Andhra Pradesh,Krishna,Vijayawada,4.7,4.21,6.42,9.6,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #110,Andhra Pradesh,Krishna,Vijayawada,3.7,4.21,5.32,8.63,"Diabetes Management, Eye Care",Recommended
Hospital #111,Andhra Pradesh,Krishna,Vijayawada,3.6,4.21,5.21,8.53,"Diabetes Management, Eye Care",Recommended
Hospital #112,Andhra Pradesh,Krishna,Vijayawada,4.6,4.21,6.31,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #113,Andhra Pradesh,Krishna,Vijayawada,4.5,4.21,6.2,9.41,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #114,Andhra Pradesh,Krishna,Vijayawada,5,4.21,6.75,9.89,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #115,Andhra Pradesh,Krishna,Vijayawada,4.3,4.21,5.98,9.21,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #116,Andhra Pradesh,Krishna,Vijayawada,3.6,4.21,5.21,8.53,"Diabetes Management, Eye Care",Recommended
Hospital #117,Andhra Pradesh,Krishna,Vijayawada,3.2,4.21,4.77,8.14,Diabetes Management,Moderate
Hospital #118,Andhra Pradesh,Krishna,Vijayawada,4.8,4.21,6.53,9.7,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #119,Andhra Pradesh,Krishna,Vijayawada,4.5,4.21,6.2,9.41,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #120,Andhra Pradesh,Krishna,Vijayawada,4,4.21,5.65,8.92,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #121,Andhra Pradesh,Krishna,Vijayawada,3.3,4.21,4.88,8.24,Diabetes Management,Moderate
Hospital #122,Andhra Pradesh,Krishna,Vijaywada,4.9,4.21,6.64,9.8,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #123,Andhra Pradesh,Krishna,Vijaywada,4.5,4.21,6.2,9.41,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #124,Andhra Pradesh,Krishna,Vijaywada,4.7,4.21,6.42,9.6,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #125,Andhra Pradesh,Krishna,Vijaywada,4,4.21,5.65,8.92,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #126,Andhra Pradesh,Krishna,Vijaywada,3,4.21,4.55,7.94,Diabetes Management,Moderate
Hospital #127,Andhra Pradesh,Krishna,Vijaywada,2.9,4.21,4.44,7.85,Diabetes Management,Moderate
Hospital #128,Andhra Pradesh,Krishna,Vijaywada,5,4.21,6.75,9.89,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #129,Andhra Pradesh,Krishna,Vijaywada,3.7,4.21,5.32,8.63,"Diabetes Management, Eye Care",Recommended
Hospital #130,Andhra Pradesh,Krishna,Vijaywada,4.6,4.21,6.31,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #51,Andhra Pradesh,Kurnool,Kurnool,4.8,4.1,6.31,9.74,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #52,Andhra Pradesh,Kurnool,Kurnool,3.6,4.1,4.99,8.57,"Diabetes Management, Eye Care",Moderate
Hospital #53,Andhra Pradesh,Kurnool,Kurnool,3.2,4.1,4.56,8.18,Diabetes Management,Moderate
Hospital #54,Andhra Pradesh,Kurnool,Kurnool,4.2,4.1,5.65,9.16,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #55,Andhra Pradesh,Kurnool,Kurnool,4.7,4.1,6.2,9.65,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #56,Andhra Pradesh,Nandyal,Nandyal,3.3,3.65,4.64,8.3,Diabetes Management,Moderate
Hospital #57,Andhra Pradesh,Nandyal,Nandyal,3.4,3.65,4.75,8.4,Diabetes Management,Moderate
Hospital #58,Andhra Pradesh,Nandyal,Nandyal,3.7,3.65,5.08,8.69,"Diabetes Management, Eye Care",Recommended
Hospital #59,Andhra Pradesh,Nandyal,Nandyal,4.2,3.65,5.63,9.18,"General Medicine, Cardiac Care, Maternity & Child Health, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #61,Andhra Pradesh,Nellore,Nellore,3.5,4.14,4.97,8.49,"Diabetes Management, Eye Care",Moderate
Hospital #62,Andhra Pradesh,Nellore,Nellore,3.9,4.14,5.41,8.88,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #63,Andhra Pradesh,Nellore,Nellore,4.9,4.14,6.51,9.85,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #64,Andhra Pradesh,Nellore,Nellore,3.9,4.14,5.41,8.88,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #65,Andhra Pradesh,Nellore,Nellore,4.5,4.14,6.07,9.46,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #66,Andhra Pradesh,Nellore,Nellore,4.9,4.14,6.51,9.85,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #67,Andhra Pradesh,Nellore,Nellore,4.1,4.14,5.63,9.07,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #68,Andhra Pradesh,Nellore,Nellore,4.7,4.14,6.29,9.66,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #69,Andhra Pradesh,Nellore,Nellore,4,4.14,5.52,8.97,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #70,Andhra Pradesh,Nellore,Nellore,3.6,4.14,5.08,8.58,"Diabetes Management, Eye Care",Recommended
Hospital #71,Andhra Pradesh,Nellore,Nellore,4.6,4.14,6.18,9.56,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #72,Andhra Pradesh,Nellore,Nellore,4.1,4.14,5.63,9.07,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #73,Andhra Pradesh,Nellore,Nellore,4.1,4.14,5.63,9.07,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #74,Andhra Pradesh,Nellore,Nellore,3,4.14,4.42,8,Diabetes Management,Moderate
Hospital #75,Andhra Pradesh,Nellore,Nellore,4.3,4.14,5.85,9.27,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #76,Andhra Pradesh,Prakasam,Ongole,3.6,3.87,4.99,8.6,"Diabetes Management, Eye Care",Moderate
Hospital #77,Andhra Pradesh,Prakasam,Ongole,4.4,3.87,5.86,9.38,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #78,Andhra Pradesh,Prakasam,Ongole,3.1,3.87,4.44,8.12,Diabetes Management,Moderate
Hospital #79,Andhra Pradesh,Prakasam,Ongole,4.7,3.87,6.19,9.68,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #80,Andhra Pradesh,Prakasam,Ongole,3.8,3.87,5.21,8.8,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #81,Andhra Pradesh,Prakasam,Ongole,3.6,3.87,4.99,8.6,"Diabetes Management, Eye Care",Moderate
Hospital #86,Andhra Pradesh,Srikakulam,Srikakulam,3.5,3.5,4.82,8.43,"Diabetes Management, Eye Care",Moderate
Hospital #100,Andhra Pradesh,Tirupati,Tirupati,4.4,4.29,5.94,9.36,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #101,Andhra Pradesh,Tirupati,Tirupati,3.9,4.29,5.39,8.88,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #102,Andhra Pradesh,Tirupati,Tirupati,4.7,4.29,6.27,9.66,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #103,Andhra Pradesh,Tirupati,Tirupati,4.9,4.29,6.49,9.85,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #91,Andhra Pradesh,Tirupati,Tirupati,3.8,4.29,5.28,8.78,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #92,Andhra Pradesh,Tirupati,Tirupati,4.3,4.29,5.83,9.27,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #93,Andhra Pradesh,Tirupati,Tirupati,4.5,4.29,6.05,9.46,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #94,Andhra Pradesh,Tirupati,Tirupati,4.2,4.29,5.72,9.17,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #95,Andhra Pradesh,Tirupati,Tirupati,4.6,4.29,6.16,9.56,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #96,Andhra Pradesh,Tirupati,Tirupati,4.2,4.29,5.72,9.17,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #97,Andhra Pradesh,Tirupati,Tirupati,3.6,4.29,5.06,8.58,"Diabetes Management, Eye Care",Recommended
Hospital #98,Andhra Pradesh,Tirupati,Tirupati,4.4,4.29,5.94,9.36,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #99,Andhra Pradesh,Tirupati,Tirupati,4.3,4.29,5.83,9.27,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #131,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.5,4,6.06,9.06,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #132,Andhra Pradesh,Visakhapatnam,Visakhapatnam,2.9,4,4.31,7.5,Diabetes Management,Moderate
Hospital #133,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.1,4,5.62,8.67,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #134,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.3,4,5.84,8.86,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #135,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.5,4,6.06,9.06,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #136,Andhra Pradesh,Visakhapatnam,Visakhapatnam,3.5,4,4.97,8.08,"Diabetes Management, Eye Care",Moderate
Hospital #137,Andhra Pradesh,Visakhapatnam,Visakhapatnam,2.9,4,4.31,7.5,Diabetes Management,Moderate
Hospital #138,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.8,4,6.39,9.35,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #139,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.6,4,6.17,9.16,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #140,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4,4,5.52,8.57,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #141,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.6,4,6.17,9.16,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #142,Andhra Pradesh,Visakhapatnam,Visakhapatnam,3.1,4,4.53,7.69,Diabetes Management,Moderate
Hospital #143,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.9,4,6.5,9.45,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #144,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4,4,5.52,8.57,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #145,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.1,4,5.62,8.67,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #146,Andhra Pradesh,Visakhapatnam,Visakhapatnam,3,4,4.42,7.59,Diabetes Management,Moderate
Hospital #147,Andhra Pradesh,Visakhapatnam,Visakhapatnam,3,4,4.42,7.59,Diabetes Management,Moderate
Hospital #148,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.5,4,6.06,9.06,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #149,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.3,4,5.84,8.86,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #150,Andhra Pradesh,Visakhapatnam,Visakhapatnam,3.5,4,4.97,8.08,"Diabetes Management, Eye Care",Moderate
Hospital #151,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.5,4,6.06,9.06,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #152,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.2,4,5.73,8.76,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #153,Andhra Pradesh,Visakhapatnam,Visakhapatnam,3.5,4,4.97,8.08,"Diabetes Management, Eye Care",Moderate
Hospital #154,Andhra Pradesh,Visakhapatnam,Visakhapatnam,4.8,4,6.39,9.35,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #87,Andhra Pradesh,West Godavari,Tadepalligudem,4,3.89,5.39,8.83,"General Medicine, Orthopaedics, Maternity & Child Health, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #88,Andhra Pradesh,West Godavari,Tanuku,3.8,3.89,5.17,8.64,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
